"Species","Distance.m","Angle.degrees","Tree.Height.m"
"Populus tremula",31.6658337740228,41.2826361937914,25.462680727681
"Quercus robur",45.984992608428,44.5359166583512,46.094124200205
"Ginkgo biloba",31.2417666241527,25.1462585572153,15.2541806244397
"Fraxinus excelsior",34.6166691975668,23.336126555223,16.1085376231346
"Betula pendula",45.4661654261872,38.3491299510933,38.9782891142089
"Betula pendula",48.7955017434433,33.5923089866992,38.3661074268043
"Populus tremula",30.6472346419469,29.6680675458629,17.5786750610666
"Fagus sylvatica",35.0619523832574,40.6805929599795,28.5504607023457
"Quercus robur",39.9362466670573,26.95891767391,22.5701474298691
"Quercus robur",48.5709257051349,26.702855124604,30.257477966697
"Carpinus betulus",41.3144933478907,33.6508165684063,29.5780499696015
"Populus tremula",47.1975362300873,28.0572507053148,30.2964612354713
"Populus tremula",35.4810611810535,39.6383204893209,28.2539753999049
"Ginkgo biloba",34.8862405261025,38.9365267753601,27.1485985789787
"Betula pendula",34.1105821775272,42.0246486656833,28.4641472425322
"Alnus glutinosa",49.654958024621,38.6693715688307,45.5247583953144
"Ginkgo biloba",40.5030490783975,31.3665648386814,26.7924641637731
"Carpinus betulus",35.9443165874109,26.293636362534,19.0644299835321
"Metasequoia glyptostroboides",41.7043626774102,26.5267517697066,23.6380971678351
"Ginkgo biloba",37.3554195649922,43.1725008168723,32.9546736013543
"Betula pendula",43.4749639127403,36.2327829515561,34.3535497197335
"Fagus sylvatica",39.8774524684995,38.6918964318465,32.3255841348291
"Populus tremula",31.2450212799013,23.340078931069,14.1603327757634
"Quercus robur",35.9201506245881,42.8551055188291,31.0448982508328
"Ginkgo biloba",49.6307160519063,31.3478059414774,36.873579893247
"Carpinus betulus",38.2067809579894,43.2579337025527,34.0489278025221
"Pinus sylvestris",30.462764617987,35.7672338711563,21.0372132222855
"Pinus sylvestris",44.3437174567953,42.6901407469995,41.7232034333834
"Carpinus betulus",42.391633852385,26.078630394768,23.8060798811942
"Pinus sylvestris",49.7625944949687,35.1144014263991,41.4972999168469
"Populus tremula",46.3471551518887,29.2238053563051,30.631397822193
"Fraxinus excelsior",48.8101416407153,30.1879840833135,34.4957745894869
"Betula pendula",39.1205159528181,40.7153382652905,33.1126725036762
"Pinus sylvestris",32.091398476623,33.0367860780098,20.717026206547
"Fraxinus excelsior",30.7957392046228,36.5876288549043,21.8069166112159
"Fraxinus excelsior",39.4369949353859,36.0758849116974,29.6720967554895
"Carpinus betulus",39.9332950264215,23.9536876312923,20.0520542322759
"Quercus robur",47.7163779549301,31.0238172404934,34.1143149217705
"Quercus robur",49.7508854558691,35.125136054121,41.492786728162
"Metasequoia glyptostroboides",40.6481830682606,30.138981079217,25.8762276788391
"Alnus glutinosa",39.0966060291976,20.8493582543451,16.9417632343115
"Betula pendula",38.8727945787832,22.9332405712921,18.4868201597296
"Carpinus betulus",47.0151513628662,30.629521345254,32.8635593972175
"Alnus glutinosa",34.5093661732972,25.6323324737605,17.6227840890216
"Populus tremula",32.0270016696304,30.797824623296,19.2648038622906
"Carpinus betulus",36.4183936547488,40.8025922765955,30.1024890761641
"Alnus glutinosa",35.0219672126696,22.6937661168631,15.9033162997974
"Ginkgo biloba",40.2515866607428,24.2476485599764,20.5283024580307
"Alnus glutinosa",49.314148882404,24.237724567065,28.1930340438299
"Pinus sylvestris",41.1222059605643,21.0549149999861,18.3817480191021
"Alnus glutinosa",32.3566586244851,39.6630597871263,25.1288767148999
"Populus tremula",39.0768380276859,28.8852869695984,23.4550533774978
"Betula pendula",34.7624337533489,30.1337608066387,20.914221561311
"Populus tremula",41.9296419201419,40.5908210249618,36.457983843163
"Ginkgo biloba",36.9634854933247,42.9492065787781,32.3216549894747
"Alnus glutinosa",44.7396824741736,28.3564685541205,28.0999627562049
"Betula pendula",40.0541249988601,36.7069853108842,30.8599550101129
"Carpinus betulus",42.3438745737076,22.6408458594233,20.6332989251364
"Quercus robur",42.641541226767,27.5769322866108,25.3952142969285
"Quercus robur",43.9628482470289,39.0075231716037,37.6202772027344
"Carpinus betulus",31.7523087095469,41.3719389925245,25.6040381807067
